# x I_sum I_mean
-1.000000e+00 5.780513e-02 1.926838e-02
-9.800000e-01 3.180584e-02 1.060195e-02
-9.600000e-01 1.888455e-02 6.294850e-03
-9.400000e-01 2.006762e-02 6.689205e-03
-9.200000e-01 3.459598e-02 1.153199e-02
-9.000000e-01 6.012016e-02 2.004005e-02
-8.800000e-01 9.308499e-02 3.102833e-02
-8.600000e-01 1.292404e-01 4.308013e-02
-8.400000e-01 1.642024e-01 5.473412e-02
-8.200000e-01 1.939876e-01 6.466255e-02
-8.000000e-01 2.154555e-01 7.181852e-02
-7.800000e-01 2.266081e-01 7.553603e-02
-7.600000e-01 2.267235e-01 7.557450e-02
-7.400000e-01 2.163217e-01 7.210722e-02
-7.200000e-01 1.969831e-01 6.566103e-02
-7.000000e-01 1.710592e-01 5.701974e-02
-6.800000e-01 1.413229e-01 4.710764e-02
-6.600000e-01 1.106090e-01 3.686968e-02
-6.400000e-01 8.149183e-02 2.716394e-02
-6.200000e-01 5.603410e-02 1.867803e-02
-6.000000e-01 3.563032e-02 1.187677e-02
-5.800000e-01 2.095007e-02 6.983355e-03
-5.600000e-01 1.197478e-02 3.991594e-03
-5.400000e-01 8.109738e-03 2.703246e-03
-5.200000e-01 8.345977e-03 2.781992e-03
-5.000000e-01 1.144482e-02 3.814939e-03
-4.800000e-01 1.611882e-02 5.372939e-03
-4.600000e-01 2.118808e-02 7.062693e-03
-4.400000e-01 2.569745e-02 8.565815e-03
-4.200000e-01 2.898774e-02 9.662579e-03
-4.000000e-01 3.072108e-02 1.024036e-02
-3.800000e-01 3.086603e-02 1.028868e-02
-3.600000e-01 2.965169e-02 9.883896e-03
-3.400000e-01 2.750191e-02 9.167304e-03
-3.200000e-01 2.496016e-02 8.320053e-03
-3.000000e-01 2.261437e-02 7.538124e-03
-2.800000e-01 2.102874e-02 7.009582e-03
-2.600000e-01 2.068697e-02 6.895658e-03
-2.400000e-01 2.194929e-02 7.316430e-03
-2.200000e-01 2.502396e-02 8.341321e-03
-2.000000e-01 2.995292e-02 9.984306e-03
-1.800000e-01 3.661054e-02 1.220351e-02
-1.600000e-01 4.471455e-02 1.490485e-02
-1.400000e-01 5.384775e-02 1.794925e-02
-1.200000e-01 6.348925e-02 2.116308e-02
-1.000000e-01 7.305329e-02 2.435110e-02
-8.000000e-02 8.193352e-02 2.731117e-02
-6.000000e-02 8.954962e-02 2.984987e-02
-4.000000e-02 9.539293e-02 3.179764e-02
-2.000000e-02 9.906715e-02 3.302238e-02
0.000000e+00 1.003206e-01 3.344022e-02
2.000000e-02 9.906715e-02 3.302238e-02
4.000000e-02 9.539293e-02 3.179764e-02
6.000000e-02 8.954962e-02 2.984987e-02
8.000000e-02 8.193352e-02 2.731117e-02
1.000000e-01 7.305329e-02 2.435110e-02
1.200000e-01 6.348925e-02 2.116308e-02
1.400000e-01 5.384775e-02 1.794925e-02
1.600000e-01 4.471455e-02 1.490485e-02
1.800000e-01 3.661054e-02 1.220351e-02
2.000000e-01 2.995292e-02 9.984306e-03
2.200000e-01 2.502396e-02 8.341321e-03
2.400000e-01 2.194929e-02 7.316430e-03
2.600000e-01 2.068697e-02 6.895658e-03
2.800000e-01 2.102874e-02 7.009582e-03
3.000000e-01 2.261437e-02 7.538124e-03
3.200000e-01 2.496016e-02 8.320053e-03
3.400000e-01 2.750191e-02 9.167304e-03
3.600000e-01 2.965169e-02 9.883896e-03
3.800000e-01 3.086603e-02 1.028868e-02
4.000000e-01 3.072108e-02 1.024036e-02
4.200000e-01 2.898774e-02 9.662579e-03
4.400000e-01 2.569745e-02 8.565815e-03
4.600000e-01 2.118808e-02 7.062693e-03
4.800000e-01 1.611882e-02 5.372939e-03
5.000000e-01 1.144482e-02 3.814939e-03
5.200000e-01 8.345977e-03 2.781992e-03
5.400000e-01 8.109738e-03 2.703246e-03
5.600000e-01 1.197478e-02 3.991594e-03
5.800000e-01 2.095007e-02 6.983355e-03
6.000000e-01 3.563032e-02 1.187677e-02
6.200000e-01 5.603410e-02 1.867803e-02
6.400000e-01 8.149183e-02 2.716394e-02
6.600000e-01 1.106090e-01 3.686968e-02
6.800000e-01 1.413229e-01 4.710764e-02
7.000000e-01 1.710592e-01 5.701974e-02
7.200000e-01 1.969831e-01 6.566103e-02
7.400000e-01 2.163217e-01 7.210722e-02
7.600000e-01 2.267235e-01 7.557450e-02
7.800000e-01 2.266081e-01 7.553603e-02
8.000000e-01 2.154555e-01 7.181852e-02
8.200000e-01 1.939876e-01 6.466255e-02
8.400000e-01 1.642024e-01 5.473412e-02
8.600000e-01 1.292404e-01 4.308013e-02
8.800000e-01 9.308499e-02 3.102833e-02
9.000000e-01 6.012016e-02 2.004005e-02
9.200000e-01 3.459598e-02 1.153199e-02
9.400000e-01 2.006762e-02 6.689205e-03
9.600000e-01 1.888455e-02 6.294850e-03
9.800000e-01 3.180584e-02 1.060195e-02
1.000000e+00 5.780513e-02 1.926838e-02
