# freq flux_srcbox_top flux_srcbox_bot flux_srcbox_xp flux_srcbox_xm flux_srcbox_yp flux_srcbox_ym flux_glass flux_wvgbox_xp flux_wvgbox_xm flux_wvgbox_yp flux_wvgbox_ym
1.250000e+00 9.776508e-09 4.626249e-06 4.108668e-02 4.108668e-02 4.108668e-02 4.108668e-02 6.179359e-04 1.526066e-02 1.526066e-02 1.526066e-02 1.526066e-02
1.302083e+00 1.425279e-08 5.153704e-07 2.897971e-02 2.897971e-02 2.897971e-02 2.897971e-02 7.497780e-04 1.992767e-02 1.992767e-02 1.992767e-02 1.992767e-02
1.354167e+00 1.989753e-08 -2.696170e-06 1.119985e-02 1.119985e-02 1.119985e-02 1.119985e-02 8.950308e-04 2.559081e-02 2.559081e-02 2.559081e-02 2.559081e-02
1.406250e+00 2.668597e-08 -1.346713e-06 -2.450935e-03 -2.450935e-03 -2.450935e-03 -2.450935e-03 1.051688e-03 3.223373e-02 3.223373e-02 3.223373e-02 3.223373e-02
1.458333e+00 3.451471e-08 8.970820e-06 2.544195e-04 2.544195e-04 2.544195e-04 2.544195e-04 1.217122e-03 3.977741e-02 3.977741e-02 3.977741e-02 3.977741e-02
1.510417e+00 4.319926e-08 3.241718e-05 3.031349e-02 3.031349e-02 3.031349e-02 3.031349e-02 1.388138e-03 4.807594e-02 4.807594e-02 4.807594e-02 4.807594e-02
1.562500e+00 5.247787e-08 7.171121e-05 9.366373e-02 9.366373e-02 9.366373e-02 9.366373e-02 1.561058e-03 5.691704e-02 5.691704e-02 5.691704e-02 5.691704e-02
1.614583e+00 6.202162e-08 1.270265e-04 1.884091e-01 1.884091e-01 1.884091e-01 1.884091e-01 1.731836e-03 6.602791e-02 6.602791e-02 6.602791e-02 6.602791e-02
1.666667e+00 7.145055e-08 1.952994e-04 3.040838e-01 3.040838e-01 3.040838e-01 3.040838e-01 1.896193e-03 7.508628e-02 7.508628e-02 7.508628e-02 7.508628e-02
1.718750e+00 8.035488e-08 2.702022e-04 4.233432e-01 4.233432e-01 4.233432e-01 4.233432e-01 2.049768e-03 8.373643e-02 8.373643e-02 8.373643e-02 8.373643e-02
1.770833e+00 8.831971e-08 3.428897e-04 5.257335e-01 5.257335e-01 5.257335e-01 5.257335e-01 2.188283e-03 9.160919e-02 9.160919e-02 9.160919e-02 9.160919e-02
1.822917e+00 9.495172e-08 4.034341e-04 5.925366e-01 5.925366e-01 5.925366e-01 5.925366e-01 2.307715e-03 9.834450e-02 9.834450e-02 9.834450e-02 9.834450e-02
1.875000e+00 9.990554e-08 4.426784e-04 6.113401e-01 6.113401e-01 6.113401e-01 6.113401e-01 2.404452e-03 1.036150e-01 1.036150e-01 1.036150e-01 1.036150e-01
1.927083e+00 1.029079e-07 4.541025e-04 5.790432e-01 5.790432e-01 5.790432e-01 5.790432e-01 2.475452e-03 1.071488e-01 1.071488e-01 1.071488e-01 1.071488e-01
1.979167e+00 1.037779e-07 4.352652e-04 5.024710e-01 5.024710e-01 5.024710e-01 5.024710e-01 2.518370e-03 1.087495e-01 1.087495e-01 1.087495e-01 1.087495e-01
2.031250e+00 1.024404e-07 3.884600e-04 3.964742e-01 3.964742e-01 3.964742e-01 3.964742e-01 2.531667e-03 1.083115e-01 1.083115e-01 1.083115e-01 1.083115e-01
2.083333e+00 9.893415e-08 3.203982e-04 2.801165e-01 2.801165e-01 2.801165e-01 2.801165e-01 2.514681e-03 1.058296e-01 1.058296e-01 1.058296e-01 1.058296e-01
2.135417e+00 9.341015e-08 2.409605e-04 1.720723e-01 1.720723e-01 1.720723e-01 1.720723e-01 2.467669e-03 1.014020e-01 1.014020e-01 1.014020e-01 1.014020e-01
2.187500e+00 8.612379e-08 1.612877e-04 8.651892e-02 8.651892e-02 8.651892e-02 8.651892e-02 2.391802e-03 9.522525e-02 9.522525e-02 9.522525e-02 9.522525e-02
2.239583e+00 7.741898e-08 9.163834e-05 3.058158e-02 3.058158e-02 3.058158e-02 3.058158e-02 2.289134e-03 8.758289e-02 8.758289e-02 8.758289e-02 8.758289e-02
2.291667e+00 6.770643e-08 3.950036e-05 3.860022e-03 3.860022e-03 3.860022e-03 3.860022e-03 2.162521e-03 7.882742e-02 7.882742e-02 7.882742e-02 7.882742e-02
2.343750e+00 5.743755e-08 8.377157e-06 -7.287351e-05 -7.287351e-05 -7.287351e-05 -7.287351e-05 2.015518e-03 6.935751e-02 6.935751e-02 6.935751e-02 6.935751e-02
2.395833e+00 4.707572e-08 -2.503578e-06 9.135979e-03 9.135979e-03 9.135979e-03 9.135979e-03 1.852236e-03 5.959203e-02 5.959203e-02 5.959203e-02 5.959203e-02
2.447917e+00 3.706732e-08 2.461899e-06 2.177356e-02 2.177356e-02 2.177356e-02 2.177356e-02 1.677187e-03 4.994313e-02 4.994313e-02 4.994313e-02 4.994313e-02
2.500000e+00 2.781461e-08 1.663916e-05 3.062188e-02 3.062188e-02 3.062188e-02 3.062188e-02 1.495110e-03 4.079040e-02 4.079040e-02 4.079040e-02 4.079040e-02
