wavelength (microns),Re_eps,Im_eps
500.0,3.82196,0.0311236
250.0,3.8298,0.0272414
166.7,3.83761,0.0337732
125.0,3.8493,0.0466956
100.0,3.86884,0.0625506
40.0,4.40788,0.1932
36.36,4.60647,0.240464
33.33,4.87961,0.29614
30.77,5.20819,0.420256
28.57,5.68564,0.62088
26.67,6.39677,1.00973
25.0,7.34451,2.17477
23.81,7.9351,4.29811
22.73,6.956,7.57488
21.74,0.082764,10.5706
21.28,-3.50984,7.09352
21.05,-3.9244,4.44888
20.83,-2.89455,2.79632
20.41,-1.30466,1.47891
20.0,-0.237969,1.08767
19.61,0.509888,0.928214
19.23,0.930275,0.8715
18.97,1.20579,0.875394
18.52,1.40894,0.84227
17.86,1.69877,0.796852
17.24,1.89311,0.739728
16.67,2.04727,0.6815
16.0,2.2152,0.606808
15.38,2.3849,0.56602
14.81,2.52538,0.536928
14.29,2.6748,0.515902
13.79,2.85855,0.533172
13.33,3.05221,0.621624
13.16,3.12798,0.683136
12.99,3.22457,0.82174
12.82,3.2041,0.99605
12.66,3.10193,1.12349
12.5,2.95536,1.20256
12.35,2.77712,1.16008
12.2,2.64463,1.07107
12.05,2.53694,0.86241
11.9,2.57954,0.660552
11.76,2.706,0.502208
11.63,2.84264,0.39208
11.36,3.17665,0.27652
11.11,3.4906,0.189143
10.81,4.15133,0.187496
10.53,4.93577,0.453696
10.26,5.93934,1.13098
10.0,6.99855,2.74249
9.756,7.13448,5.46224
9.524,4.8951,9.108
9.302,-0.0451,10.17
9.174,-4.30544,8.50016
9.091,-5.41465,5.3193
9.009,-4.81114,2.65408
8.929,-3.28523,1.37085
8.85,-2.21395,1.09028
8.772,-1.58913,1.03356
8.696,-1.18323,1.00831
8.621,-0.93669,0.976482
8.547,-0.739701,0.910714
8.475,-0.590164,0.857128
8.403,-0.481871,0.79464
8.333,-0.382841,0.70932
8.265,-0.290407,0.637824
8.197,-0.215823,0.549783
8.13,-0.144205,0.444612
8.065,-0.0443884,0.350645
8.0,0.0648387,0.2657
7.937,0.172087,0.202046
7.874,0.280255,0.144038
7.813,0.38248,0.0957235
7.752,0.492947,0.0667108
7.692,0.594446,0.0574294
7.634,0.674534,0.0
7.576,0.7396,0.0
7.519,0.791566,0.0
7.463,0.841806,0.0
7.407,0.900002,0.0280845
7.353,0.941288,0.0
7.246,1.0282,0.0
7.143,1.1087,0.0223236
7.042,1.17506,0.0
6.944,1.22545,0.0
6.849,1.28822,0.0
6.757,1.34096,0.0
6.667,1.38057,0.016826
6.452,1.4689,0.0159257
6.25,1.53508,0.0161566
5.882,1.63325,0.0151826
5.556,1.7056,0.0147056
5.0,1.80095,0.0106823
4.545,1.86322,0.00069888
4.167,1.91269,0.000295962
3.846,1.94602,0.000138384
3.7067,1.95821,0.0
3.5564,1.97172,0.0
3.507,1.97594,0.0
3.422,1.983,0.0
3.3026,1.99247,0.0
3.2668,1.99524,0.0
3.2439,1.99696,0.0
2.4374,2.04762,0.0
2.32542,2.05326,0.0
2.1526,2.06141,0.0
2.0581,2.0656,0.0
1.97009,2.06931,0.0
1.81307,2.07559,0.0
1.70913,2.07951,0.0
1.6932,2.08011,0.0
1.681,2.08055,0.0
1.6606,2.0813,0.0
1.52952,2.08592,0.0
1.4695,2.08794,0.0
1.39506,2.09045,0.0
1.3622,2.09152,0.0
1.12866,2.09925,0.0
1.08297,2.10079,0.0
1.01398,2.10323,0.0
0.89435,2.10787,0.0
0.852111,2.1097,0.0
0.706519,2.11746,0.0
0.667815,2.12017,0.0
0.656272,2.12101,0.0
0.643847,2.122,0.0
0.589262,2.12696,0.0
0.587561,2.12713,0.0
0.579065,2.12801,0.0
0.576959,2.12824,0.0
0.546074,2.13183,0.0
0.508582,2.13706,0.0
0.486133,2.14075,0.0
0.467816,2.14415,0.0
0.435835,2.15118,0.0
0.404656,2.15975,0.0
0.365015,2.17424,0.0
0.361051,2.17598,0.0
0.34662,2.18289,0.0
0.340365,2.1862,0.0
0.334148,2.18969,0.0
0.330259,2.19197,0.0
0.30215,2.21173,0.0
0.296728,2.21632,0.0
0.28936,2.22305,0.0
0.280347,2.23216,0.0
0.275278,2.23778,0.0
0.269885,2.24415,0.0
0.265204,2.25012,0.0
0.248272,2.2753,0.0
0.239938,2.29032,0.0
0.237833,2.29444,0.0
0.230209,2.31067,0.0
0.226747,2.3188,0.0
0.214438,2.35227,0.0
0.213856,2.35405,0.0
0.2066,2.38085,0.0
0.1984,2.41492,0.0
0.1907,2.45549,0.0
0.1837,2.50272,0.0
0.1771,2.56,0.0
0.1722,2.61146,0.0
0.1675,2.66669,0.0
0.1631,2.73241,0.0
0.159,2.80898,1.57544e-05
0.155,2.8968,0.00108928
0.1531,2.94466,0.000418704
0.1512,2.9929,0.00160198
0.1494,3.05201,0.0048916
0.1476,3.11169,0.0111838
0.1459,3.17906,0.0198626
0.1442,3.25074,0.0302183
0.1425,3.33051,0.039785
0.1409,3.42233,0.04884
0.1393,3.51913,0.0585312
0.1378,3.62486,0.0719712
0.1362,3.74371,0.088236
0.1348,3.87623,0.10672
0.1333,4.02289,0.136007
