lambda, Y
7e-07, 1.26476
6.98249e-07, 1.27014
6.96506e-07, 1.27537
6.94772e-07, 1.28032
6.93046e-07, 1.2849
6.91329e-07, 1.28911
6.89621e-07, 1.29301
6.87921e-07, 1.29669
6.8623e-07, 1.30023
6.84546e-07, 1.30361
6.82871e-07, 1.30675
6.81204e-07, 1.30957
6.79545e-07, 1.31203
6.77895e-07, 1.31417
6.76252e-07, 1.31609
6.74617e-07, 1.31786
6.7299e-07, 1.31954
6.71371e-07, 1.32108
6.6976e-07, 1.32241
6.68156e-07, 1.32349
6.66561e-07, 1.32431
6.64972e-07, 1.32496
6.63391e-07, 1.32552
6.61818e-07, 1.32605
6.60252e-07, 1.32655
6.58694e-07, 1.32697
6.57143e-07, 1.32724
6.55599e-07, 1.32733
6.54063e-07, 1.32728
6.52533e-07, 1.32716
6.51011e-07, 1.32703
6.49496e-07, 1.32692
6.47988e-07, 1.32679
6.46486e-07, 1.32658
6.44992e-07, 1.32624
6.43505e-07, 1.32577
6.42025e-07, 1.32522
6.40551e-07, 1.32466
6.39084e-07, 1.32412
6.37624e-07, 1.32362
6.3617e-07, 1.32309
6.34723e-07, 1.32248
6.33283e-07, 1.32177
6.31849e-07, 1.32099
6.30422e-07, 1.32021
6.29001e-07, 1.31946
6.27586e-07, 1.31878
6.26178e-07, 1.31814
6.24776e-07, 1.31749
6.2338e-07, 1.31678
6.21991e-07, 1.31603
6.20608e-07, 1.31528
6.19231e-07, 1.31458
6.1786e-07, 1.31397
6.16495e-07, 1.31345
6.15136e-07, 1.31298
6.13783e-07, 1.31251
6.12436e-07, 1.31202
6.11095e-07, 1.31155
6.0976e-07, 1.31113
6.0843e-07, 1.31082
6.07107e-07, 1.31062
6.05789e-07, 1.31052
6.04477e-07, 1.31048
6.0317e-07, 1.31045
6.01869e-07, 1.31045
6.00574e-07, 1.31051
5.99284e-07, 1.31068
5.98e-07, 1.31098
5.96721e-07, 1.31141
5.95448e-07, 1.31194
5.9418e-07, 1.31253
5.92918e-07, 1.31317
5.91661e-07, 1.31387
5.90409e-07, 1.31468
5.89163e-07, 1.31562
5.87921e-07, 1.31672
5.86685e-07, 1.31796
5.85455e-07, 1.3193
5.84229e-07, 1.32071
5.83008e-07, 1.3222
5.81793e-07, 1.32379
5.80583e-07, 1.32552
5.79377e-07, 1.32742
5.78177e-07, 1.32949
5.76981e-07, 1.3317
5.75791e-07, 1.33401
5.74605e-07, 1.33642
5.73425e-07, 1.33894
5.72249e-07, 1.34161
5.71078e-07, 1.34444
5.69912e-07, 1.34747
5.6875e-07, 1.35067
5.67593e-07, 1.35402
5.66441e-07, 1.35748
5.65294e-07, 1.36107
5.64151e-07, 1.36481
5.63013e-07, 1.36872
5.61879e-07, 1.37284
5.6075e-07, 1.37716
5.59626e-07, 1.38166
5.58506e-07, 1.38631
5.5739e-07, 1.3911
5.56279e-07, 1.39605
5.55172e-07, 1.40117
5.5407e-07, 1.40651
5.52972e-07, 1.41206
5.51879e-07, 1.41783
5.50789e-07, 1.42377
5.49705e-07, 1.42988
5.48624e-07, 1.43614
5.47547e-07, 1.44258
5.46475e-07, 1.44922
5.45407e-07, 1.45609
5.44343e-07, 1.46318
5.43284e-07, 1.47047
5.42228e-07, 1.47793
5.41176e-07, 1.48555
5.40129e-07, 1.49333
5.39086e-07, 1.5013
5.38046e-07, 1.50947
5.37011e-07, 1.51784
5.3598e-07, 1.52642
5.34952e-07, 1.53515
5.33929e-07, 1.54403
5.32909e-07, 1.55304
5.31893e-07, 1.56218
5.30881e-07, 1.57147
5.29873e-07, 1.58093
5.28869e-07, 1.59053
5.27869e-07, 1.60026
5.26872e-07, 1.61008
5.25879e-07, 1.61997
5.2489e-07, 1.62991
5.23905e-07, 1.63991
5.22923e-07, 1.64998
5.21945e-07, 1.66011
5.20971e-07, 1.67028
5.2e-07, 1.68046
5.19033e-07, 1.6906
5.18069e-07, 1.70068
5.17109e-07, 1.7107
5.16153e-07, 1.72066
5.152e-07, 1.73056
5.14251e-07, 1.74037
5.13305e-07, 1.75007
5.12362e-07, 1.75962
5.11423e-07, 1.76899
5.10488e-07, 1.77815
5.09556e-07, 1.78711
5.08627e-07, 1.79588
5.07702e-07, 1.80443
5.0678e-07, 1.81277
5.05861e-07, 1.82084
5.04946e-07, 1.82862
5.04034e-07, 1.8361
5.03125e-07, 1.84326
5.0222e-07, 1.85013
5.01317e-07, 1.8567
