wavelength(um), dipole power
0.7, 1.32377
0.698249, 1.32402
0.696506, 1.32426
0.694772, 1.32443
0.693046, 1.32454
0.691329, 1.32458
0.689621, 1.32462
0.687921, 1.3247
0.68623, 1.32483
0.684546, 1.32499
0.682871, 1.32514
0.681204, 1.32525
0.679545, 1.32529
0.677895, 1.32529
0.676252, 1.32528
0.674617, 1.3253
0.67299, 1.32535
0.671371, 1.32544
0.66976, 1.3255
0.668156, 1.32553
0.666561, 1.32551
0.664972, 1.32545
0.663391, 1.32539
0.661818, 1.32536
0.660252, 1.32536
0.658694, 1.32539
0.657143, 1.3254
0.655599, 1.32539
0.654062, 1.32534
0.652533, 1.32528
0.651011, 1.32524
0.649496, 1.32524
0.647988, 1.32526
0.646486, 1.32531
0.644992, 1.32534
0.643505, 1.32535
0.642025, 1.32535
0.640551, 1.32534
0.639084, 1.32537
0.637624, 1.32545
0.63617, 1.32558
0.634723, 1.32573
0.633283, 1.32589
0.631849, 1.32604
0.630422, 1.32619
0.629001, 1.32635
0.627586, 1.32656
0.626178, 1.32682
0.624776, 1.32713
0.62338, 1.32748
0.621991, 1.32783
0.620608, 1.32818
0.619231, 1.32853
0.61786, 1.32891
0.616495, 1.32934
0.615136, 1.32982
0.613783, 1.33035
0.612436, 1.33092
0.611095, 1.33149
0.60976, 1.33207
0.60843, 1.33266
0.607107, 1.33327
0.605789, 1.33393
0.604477, 1.33463
0.60317, 1.33538
0.601869, 1.33616
0.600574, 1.33694
0.599284, 1.33773
0.598, 1.33852
0.596721, 1.33934
0.595448, 1.3402
0.59418, 1.3411
0.592918, 1.34204
0.591661, 1.34299
0.590409, 1.34396
0.589163, 1.34493
0.587921, 1.34592
0.586685, 1.34693
0.585455, 1.34798
0.584229, 1.34908
0.583008, 1.35022
0.581793, 1.35138
0.580583, 1.35255
0.579377, 1.35374
0.578177, 1.35495
0.576981, 1.3562
0.575791, 1.3575
0.574605, 1.35886
0.573425, 1.36026
0.572249, 1.36169
0.571078, 1.36316
0.569912, 1.36465
0.56875, 1.36618
0.567593, 1.36776
0.566441, 1.36941
0.565294, 1.37112
0.564151, 1.37289
0.563013, 1.3747
0.561879, 1.37657
0.56075, 1.37847
0.559626, 1.38043
0.558506, 1.38244
0.55739, 1.38452
0.556279, 1.38667
0.555172, 1.38888
0.55407, 1.39114
0.552972, 1.39345
0.551879, 1.3958
0.550789, 1.3982
0.549705, 1.40066
0.548624, 1.40318
0.547547, 1.40576
0.546475, 1.40839
0.545407, 1.41105
0.544343, 1.41376
0.543284, 1.41649
0.542228, 1.41926
0.541176, 1.42207
0.540129, 1.42492
0.539086, 1.42779
0.538046, 1.43069
0.537011, 1.43361
0.53598, 1.43654
0.534952, 1.43948
0.533929, 1.44244
0.532909, 1.44542
0.531893, 1.44842
0.530881, 1.45143
0.529873, 1.45445
0.528869, 1.45747
0.527869, 1.46048
0.526872, 1.46349
0.525879, 1.4665
0.52489, 1.46952
0.523905, 1.47255
0.522923, 1.47559
0.521945, 1.47864
0.520971, 1.48168
0.52, 1.48471
0.519033, 1.48774
0.518069, 1.49078
0.517109, 1.49382
0.516153, 1.49688
0.5152, 1.49994
0.514251, 1.50301
0.513305, 1.50607
0.512362, 1.50912
0.511423, 1.51217
0.510488, 1.51522
0.509556, 1.51826
0.508627, 1.52131
0.507702, 1.52435
0.50678, 1.52737
0.505861, 1.53038
0.504946, 1.53335
0.504034, 1.5363
0.503125, 1.53921
0.50222, 1.54209
0.501317, 1.54492
0.500418, 1.54772
0.499523, 1.55045
0.49863, 1.55312
0.497741, 1.55572
0.496855, 1.55824
0.495972, 1.56068
