wavelength(um),Material_Re,Material_Im,Meep_Re,Meep_Im
7.293000000000000593e-01,-6.886530000000000484e+01,3.667960000000000065e+01,-6.926826919877485977e+01,3.494731548730976556e+01
7.085000000000000187e-01,-6.674400000000001398e+01,3.204979999999999762e+01,-6.675172687434479712e+01,3.174805608137804924e+01
6.999999999999999556e-01,-6.570720000000001448e+01,3.041460000000000363e+01,-6.566669158776826976e+01,3.047793898393144119e+01
6.887999999999999678e-01,-6.437650000000000716e+01,2.857080000000000197e+01,-6.419219762465120027e+01,2.884200558403158254e+01
6.701999999999999069e-01,-6.160009999999999764e+01,2.563200000000000145e+01,-6.164425804504578110e+01,2.622858175104978429e+01
6.525999999999999579e-01,-5.893230000000000501e+01,2.330359999999999943e+01,-5.913845575947964761e+01,2.388439866769466491e+01
6.500000000000000222e-01,-5.852320000000000277e+01,2.290259999999999962e+01,-5.876175463483893679e+01,2.354922261066415601e+01
6.358000000000000318e-01,-5.659040000000000958e+01,2.126699999999999946e+01,-5.667986180348709979e+01,2.177061676939093005e+01
6.199000000000000066e-01,-5.426040000000001129e+01,1.944800000000000040e+01,-5.430899870390075534e+01,1.988508383291789983e+01
6.048000000000000043e-01,-5.194769999999999754e+01,1.783639999999999759e+01,-5.203088639303420138e+01,1.819929339556159320e+01
5.999999999999999778e-01,-5.126760000000000161e+01,1.742399999999999949e+01,-5.130319979267565600e+01,1.768482813235183926e+01
5.904000000000000359e-01,-4.980000000000000426e+01,1.644500000000000028e+01,-4.984488250953392452e+01,1.668673885786074607e+01
5.766999999999999904e-01,-4.783359999999999701e+01,1.512000000000000099e+01,-4.776141267538771018e+01,1.533295724626736067e+01
5.635999999999999899e-01,-4.588209999999999411e+01,1.397400000000000020e+01,-4.577263330655875961e+01,1.411481433663133878e+01
5.510000000000000453e-01,-4.396263100000000179e+01,1.290419999999999945e+01,-4.386849850039379817e+01,1.301195120274388373e+01
5.500000000000000444e-01,-4.383833600000000530e+01,1.281803999999999988e+01,-4.371789165215935213e+01,1.292725747063979291e+01
5.390999999999999126e-01,-4.207075599999999582e+01,1.194720000000000049e+01,-4.208240118942000407e+01,1.203061498252108663e+01
5.276000000000000689e-01,-4.046471100000000121e+01,1.113227999999999973e+01,-4.037119901065233307e+01,1.113622112368215866e+01
5.165999999999999481e-01,-3.875612399999999980e+01,1.037456000000000067e+01,-3.875091487416806046e+01,1.032876157504919590e+01
5.060999999999999943e-01,-3.719997900000000612e+01,9.704700000000000770e+00,-3.722162698315305818e+01,9.600374841846933904e+00
5.000000000000000000e-01,-3.637503900000000101e+01,9.351040000000001129e+00,-3.634175253770035852e+01,9.195657915511082692e+00
4.959000000000000075e-01,-3.579087499999999977e+01,9.105299999999999727e+00,-3.575412825405661010e+01,8.931073120770772533e+00
4.769000000000000461e-01,-3.315697500000000275e+01,8.061999999999999389e+00,-3.307360778643371901e+01,7.780336072476169207e+00
4.591999999999999971e-01,-3.072166400000000053e+01,7.187040000000000539e+00,-3.064528566414172062e+01,6.814339474090171933e+00
4.499999999999999556e-01,-2.953897599999999457e+01,6.760919999999999597e+00,-2.941148652868795921e+01,6.350240714433203593e+00
4.428000000000000269e-01,-2.858679599999999965e+01,6.434479999999999755e+00,-2.846011640266905474e+01,6.004327141475977569e+00
4.274999999999999911e-01,-2.672863600000000162e+01,5.803200000000000358e+00,-2.648148145285556154e+01,5.317448123607596777e+00
4.133000000000000007e-01,-2.492687099999999489e+01,5.250919999999999810e+00,-2.469943487263776660e+01,4.735510039903526369e+00
3.999999999999999667e-01,-2.337950000000000017e+01,4.762800000000000367e+00,-2.307951635233496290e+01,4.235913702843739692e+00
3.875000000000000111e-01,-2.197250000000000014e+01,4.333199999999999719e+00,-2.160161453899909390e+01,3.804025185227533967e+00
