wavelength(um),Material_Re,Material_Im,Meep_Re,Meep_Im
7.065190000000000081e-01,2.117461522499999749e+00,0.000000000000000000e+00,2.117522747309676934e+00,0.000000000000000000e+00
6.678149999999999364e-01,2.120168966400000077e+00,0.000000000000000000e+00,2.119974386626752860e+00,0.000000000000000000e+00
6.562720000000000775e-01,2.121013576899999808e+00,0.000000000000000000e+00,2.120793240257272672e+00,0.000000000000000000e+00
6.438470000000000582e-01,2.122004024099999775e+00,0.000000000000000000e+00,2.121725814551241651e+00,0.000000000000000000e+00
5.892620000000000635e-01,2.126959728100000113e+00,0.000000000000000000e+00,2.126570733965527094e+00,0.000000000000000000e+00
5.875609999999999999e-01,2.127134740899999876e+00,0.000000000000000000e+00,2.126744532597668158e+00,0.000000000000000000e+00
5.790649999999999409e-01,2.128009912899999634e+00,0.000000000000000000e+00,2.127636511125874819e+00,0.000000000000000000e+00
5.769589999999999996e-01,2.128243322499999923e+00,0.000000000000000000e+00,2.127863960852015790e+00,0.000000000000000000e+00
5.460739999999999483e-01,2.131833606400000303e+00,0.000000000000000000e+00,2.131520426209940311e+00,0.000000000000000000e+00
5.085819999999999785e-01,2.137063896899999982e+00,0.000000000000000000e+00,2.136928632249288640e+00,0.000000000000000000e+00
4.861329999999999263e-01,2.140749396899999990e+00,0.000000000000000000e+00,2.140814464824358332e+00,0.000000000000000000e+00
4.678160000000000096e-01,2.144145204100000424e+00,0.000000000000000000e+00,2.144432130048056440e+00,0.000000000000000000e+00
4.358349999999999724e-01,2.151179556100000223e+00,0.000000000000000000e+00,2.151949630749881770e+00,0.000000000000000000e+00
4.046560000000000157e-01,2.159753552100000196e+00,0.000000000000000000e+00,2.161195361172036478e+00,0.000000000000000000e+00
