wavelength(um),Material_Re,Material_Im,Meep_Re,Meep_Im
7.248279999999999168e-01,3.045230013150284520e+00,7.312988040799999097e-03,3.122946358404932621e+00,8.234903217289332375e-03
7.110340000000000549e-01,3.066451480361990445e+00,7.670299626000000315e-03,3.129983201892121869e+00,8.607990830025108800e-03
6.972409999999999997e-01,3.087500569553695229e+00,8.065472698200000165e-03,3.137528473894949599e+00,9.019104515060362426e-03
6.834480000000000555e-01,3.108374746386628473e+00,8.504613566800000440e-03,3.145636584850752815e+00,9.474355543608642752e-03
6.696550000000000002e-01,3.129142258988645953e+00,8.995272172800000340e-03,3.154369397063762737e+00,9.981168128244417154e-03
6.558619999999999450e-01,3.149765823867006098e+00,9.546647011199999380e-03,3.163798294547695455e+00,1.054868560225549756e-02
6.420690000000000008e-01,3.170314535092478625e+00,1.017030203679999967e-02,3.174006170747516897e+00,1.118828539516904252e-02
6.282759999999999456e-01,3.190858414259727827e+00,1.088074628599999989e-02,3.185089963790184164e+00,1.191428652008333713e-02
6.144830000000000014e-01,3.211468393624635098e+00,1.169652473159999914e-02,3.197163932801002861e+00,1.274493732608452182e-02
6.006899999999999462e-01,3.232180348190991648e+00,1.264154951479999969e-02,3.210363954240399664e+00,1.370381928582023283e-02
5.868970000000000020e-01,3.253102726260097111e+00,1.374716371599999862e-02,3.224853248581339926e+00,1.482188180496403149e-02
5.731030000000000291e-01,3.274345324550399283e+00,1.505531497120000083e-02,3.240831372340804428e+00,1.614056146941739850e-02
5.593100000000000849e-01,3.296091911766636517e+00,1.662311898240000085e-02,3.258540255595484325e+00,1.771596626478766021e-02
5.455169999999999186e-01,3.318528589619472058e+00,1.852990277580000150e-02,3.278286405488992639e+00,1.962659631445125633e-02
5.317239999999999744e-01,3.341916968203110461e+00,2.088896746000000124e-02,3.300458643693036542e+00,2.198451358232860961e-02
5.179309999999999192e-01,3.366632224256236317e+00,2.386666458700000340e-02,3.325562566437100465e+00,2.495472007521466057e-02
5.041379999999999750e-01,3.393165288618698039e+00,2.771596942700000135e-02,3.354272270335701300e+00,2.878882349801659829e-02
4.903449999999999753e-01,3.422310231192446484e+00,3.283781848619999472e-02,3.387513636332651235e+00,3.388680122364538111e-02
4.765520000000000311e-01,3.455133788783159687e+00,3.989867065199999979e-02,3.426604153332121427e+00,4.091726368953168408e-02
4.627590000000000314e-01,3.493355359863189680e+00,5.007655337999999956e-02,3.473498427732692129e+00,5.106910207587823242e-02
4.489660000000000317e-01,3.539700557181240548e+00,6.561658745199999698e-02,3.531238130788652452e+00,6.662678800450086425e-02
4.351720000000000033e-01,3.598903525301909934e+00,9.123665236199998696e-02,3.604800728769895990e+00,9.244186966238937542e-02
4.213790000000000036e-01,3.679076390186710288e+00,1.381948724220000146e-01,3.702514767163477050e+00,1.402364543860143975e-01
4.075860000000000039e-01,3.793109430867750209e+00,2.382550541500000063e-01,3.836368222617459356e+00,2.435452008723255346e-01
3.937930000000000041e-01,3.935501904800000172e+00,4.985724713999999946e-01,3.989850902887032369e+00,5.146337550992258203e-01
3.800000000000000044e-01,3.740155295150999759e+00,1.156400650399999952e+00,3.738178517997263306e+00,1.123619749698857584e+00
