wavelength(um),Material_Re,Material_Im,Meep_Re,Meep_Im
7.293000000000000593e-01,-6.886530000000000484e+01,3.667960000000000065e+01,-6.926826747049628352e+01,3.494731549073492971e+01
7.085000000000000187e-01,-6.674400000000001398e+01,3.204979999999999762e+01,-6.675172576528132140e+01,3.174805615969951944e+01
6.999999999999999556e-01,-6.570720000000001448e+01,3.041460000000000363e+01,-6.566669069915539581e+01,3.047793906708841405e+01
6.887999999999999678e-01,-6.437650000000000716e+01,2.857080000000000197e+01,-6.419219699799177192e+01,2.884200565591973486e+01
6.701999999999999069e-01,-6.160009999999999764e+01,2.563200000000000145e+01,-6.164425778429482250e+01,2.622858177088420462e+01
6.525999999999999579e-01,-5.893230000000000501e+01,2.330359999999999943e+01,-5.913845577081092841e+01,2.388439861355322336e+01
6.500000000000000222e-01,-5.852320000000000277e+01,2.290259999999999962e+01,-5.876175468068601049e+01,2.354922254435005513e+01
6.358000000000000318e-01,-5.659040000000000958e+01,2.126699999999999946e+01,-5.667986201402196400e+01,2.177061663361314814e+01
6.199000000000000066e-01,-5.426040000000001129e+01,1.944800000000000040e+01,-5.430899905502199942e+01,1.988508361756524678e+01
6.048000000000000043e-01,-5.194769999999999754e+01,1.783639999999999759e+01,-5.203088684026954525e+01,1.819929310746772799e+01
5.999999999999999778e-01,-5.126760000000000161e+01,1.742399999999999949e+01,-5.130320026370824138e+01,1.768482782228573669e+01
5.904000000000000359e-01,-4.980000000000000426e+01,1.644500000000000028e+01,-4.984488301940051258e+01,1.668673850603644837e+01
5.766999999999999904e-01,-4.783359999999999701e+01,1.512000000000000099e+01,-4.776141322258756361e+01,1.533295684074434284e+01
5.635999999999999899e-01,-4.588209999999999411e+01,1.397400000000000020e+01,-4.577263387245938020e+01,1.411481388709285767e+01
5.510000000000000453e-01,-4.396263100000000179e+01,1.290419999999999945e+01,-4.386849907128020476e+01,1.301195071811643089e+01
5.500000000000000444e-01,-4.383833600000000530e+01,1.281803999999999988e+01,-4.371789222296622057e+01,1.292725698353830310e+01
5.390999999999999126e-01,-4.207075599999999582e+01,1.194720000000000049e+01,-4.208240175540142047e+01,1.203061447142321683e+01
5.276000000000000689e-01,-4.046471100000000121e+01,1.113227999999999973e+01,-4.037119956468636417e+01,1.113622059310251267e+01
5.165999999999999481e-01,-3.875612399999999980e+01,1.037456000000000067e+01,-3.875091541145629037e+01,1.032876103127142642e+01
5.060999999999999943e-01,-3.719997900000000612e+01,9.704700000000000770e+00,-3.722162750062764047e+01,9.600374290199036764e+00
5.000000000000000000e-01,-3.637503900000000101e+01,9.351040000000001129e+00,-3.634175304229033543e+01,9.195657361305110911e+00
4.959000000000000075e-01,-3.579087499999999977e+01,9.105299999999999727e+00,-3.575412874951594944e+01,8.931072565640288730e+00
4.769000000000000461e-01,-3.315697500000000275e+01,8.061999999999999389e+00,-3.307360823591024257e+01,7.780335520804244176e+00
4.591999999999999971e-01,-3.072166400000000053e+01,7.187040000000000539e+00,-3.064528606759328966e+01,6.814338935784368445e+00
4.499999999999999556e-01,-2.953897599999999457e+01,6.760919999999999597e+00,-2.941148690780544683e+01,6.350240186358852235e+00
4.428000000000000269e-01,-2.858679599999999965e+01,6.434479999999999755e+00,-2.846011676277672109e+01,6.004326622769492694e+00
4.274999999999999911e-01,-2.672863600000000162e+01,5.803200000000000358e+00,-2.648148177317223428e+01,5.317447628228310741e+00
4.133000000000000007e-01,-2.492687099999999489e+01,5.250919999999999810e+00,-2.469943515733394079e+01,4.735509569596013435e+00
3.999999999999999667e-01,-2.337950000000000017e+01,4.762800000000000367e+00,-2.307951660526192939e+01,4.235913258294186967e+00
3.875000000000000111e-01,-2.197250000000000014e+01,4.333199999999999719e+00,-2.160161476373850320e+01,3.804024766350166509e+00
