wavelength_um n_fdtd k_fdtd
0.4 0.565265 4.80258
0.400863 0.567565 4.81354
0.40173 0.56988 4.82455
0.402601 0.57221 4.83561
0.403476 0.574555 4.84671
0.404354 0.576914 4.85785
0.405236 0.579289 4.86904
0.406122 0.581679 4.88027
0.407012 0.584085 4.89155
0.407906 0.586506 4.90287
0.408804 0.588943 4.91424
0.409706 0.591396 4.92566
0.410612 0.593864 4.93712
0.411521 0.596349 4.94863
0.412435 0.59885 4.96018
0.413353 0.601368 4.97179
0.414275 0.603902 4.98344
0.415201 0.606452 4.99513
0.416131 0.60902 5.00688
0.417066 0.611604 5.01868
0.418005 0.614206 5.03052
0.418947 0.616825 5.04241
0.419894 0.619461 5.05435
0.420846 0.622115 5.06634
0.421802 0.624786 5.07839
0.422762 0.627476 5.09048
0.423726 0.630183 5.10262
0.424695 0.632909 5.11481
0.425668 0.635653 5.12706
0.426646 0.638416 5.13936
0.427629 0.641197 5.15171
0.428615 0.643997 5.16411
0.429607 0.646816 5.17656
0.430603 0.649655 5.18907
0.431603 0.652513 5.20163
0.432609 0.65539 5.21424
0.433619 0.658287 5.22691
0.434633 0.661204 5.23963
0.435653 0.664141 5.25241
0.436677 0.667098 5.26524
0.437706 0.670076 5.27813
0.43874 0.673074 5.29107
0.439779 0.676094 5.30407
0.440823 0.679134 5.31713
0.441872 0.682195 5.33025
0.442925 0.685278 5.34342
0.443984 0.688383 5.35665
0.445048 0.691509 5.36993
0.446117 0.694657 5.38328
0.447191 0.697828 5.39669
0.44827 0.701021 5.41015
0.449355 0.704236 5.42367
0.450445 0.707475 5.43726
0.45154 0.710736 5.4509
0.45264 0.714021 5.46461
0.453746 0.71733 5.47838
0.454857 0.720662 5.49221
0.455974 0.724018 5.5061
0.457096 0.727398 5.52005
0.458224 0.730802 5.53407
0.459357 0.734232 5.54815
0.460496 0.737686 5.5623
0.46164 0.741165 5.57651
0.462791 0.744669 5.59078
0.463947 0.7482 5.60512
0.465109 0.751756 5.61953
0.466276 0.755338 5.634
0.46745 0.758946 5.64854
0.468629 0.762581 5.66315
0.469815 0.766243 5.67782
0.471006 0.769932 5.69256
0.472203 0.773649 5.70737
0.473407 0.777393 5.72225
0.474617 0.781165 5.7372
0.475833 0.784965 5.75222
0.477055 0.788794 5.76731
0.478283 0.792651 5.78247
0.479518 0.796538 5.79771
0.480759 0.800454 5.81301
0.482007 0.8044 5.82839
0.483261 0.808375 5.84384
0.484522 0.812381 5.85937
0.485789 0.816417 5.87497
0.487063 0.820485 5.89064
0.488344 0.824583 5.90639
0.489631 0.828713 5.92222
0.490925 0.832875 5.93812
0.492226 0.837068 5.9541
0.493534 0.841295 5.97015
0.494849 0.845554 5.98629
0.496171 0.849846 6.0025
0.4975 0.854172 6.0188
0.498836 0.858531 6.03517
0.50018 0.862925 6.05162
0.50153 0.867353 6.06816
0.502888 0.871816 6.08477
0.504253 0.876314 6.10147
0.505626 0.880848 6.11825
0.507006 0.885418 6.13512
0.508394 0.890024 6.15207
0.50979 0.894667 6.1691
0.511193 0.899347 6.18622
0.512603 0.904065 6.20343
0.514022 0.90882 6.22072
0.515449 0.913614 6.2381
0.516883 0.918447 6.25557
0.518326 0.923318 6.27313
0.519776 0.92823 6.29078
0.521235 0.933181 6.30851
0.522702 0.938173 6.32634
0.524177 0.943205 6.34426
0.52566 0.948279 6.36227
0.527152 0.953395 6.38038
0.528653 0.958552 6.39857
0.530162 0.963753 6.41687
0.531679 0.968996 6.43525
0.533206 0.974284 6.45374
0.534741 0.979615 6.47232
0.536285 0.984991 6.491
0.537838 0.990412 6.50977
0.5394 0.995878 6.52865
0.540971 1.00139 6.54762
0.542551 1.00695 6.5667
0.544141 1.01256 6.58588
0.545739 1.01821 6.60515
0.547348 1.02391 6.62454
0.548966 1.02966 6.64402
0.550593 1.03546 6.66361
0.55223 1.04131 6.68331
