wavelength (microns),Re_eps,Im_eps
0.7,2.1195,6.21099e-05
0.699475,2.11953,6.17237e-05
0.698951,2.11955,6.13393e-05
0.698427,2.11958,6.09567e-05
0.697904,2.11961,6.05758e-05
0.697382,2.11963,6.01968e-05
0.696861,2.11966,5.98194e-05
0.696341,2.11968,5.94439e-05
0.695821,2.11971,5.907e-05
0.695302,2.11974,5.86979e-05
0.694784,2.11976,5.83275e-05
0.694267,2.11979,5.79589e-05
0.69375,2.11981,5.75919e-05
0.693234,2.11984,5.72267e-05
0.692719,2.11987,5.68632e-05
0.692205,2.11989,5.65013e-05
0.691691,2.11992,5.61412e-05
0.691179,2.11994,5.57827e-05
0.690667,2.11997,5.54259e-05
0.690155,2.12,5.50707e-05
0.689645,2.12002,5.47172e-05
0.689135,2.12005,5.43654e-05
0.688626,2.12008,5.40152e-05
0.688118,2.1201,5.36666e-05
0.687611,2.12013,5.33197e-05
0.687104,2.12015,5.29744e-05
0.686598,2.12018,5.26307e-05
0.686093,2.12021,5.22886e-05
0.685588,2.12023,5.19482e-05
0.685084,2.12026,5.16093e-05
0.684581,2.12029,5.1272e-05
0.684079,2.12031,5.09363e-05
0.683578,2.12034,5.06022e-05
0.683077,2.12037,5.02696e-05
0.682577,2.12039,4.99386e-05
0.682078,2.12042,4.96092e-05
0.681579,2.12045,4.92813e-05
0.681081,2.12047,4.8955e-05
0.680584,2.1205,4.86302e-05
0.680088,2.12053,4.83069e-05
0.679592,2.12055,4.79852e-05
0.679097,2.12058,4.7665e-05
0.678603,2.12061,4.73463e-05
0.678109,2.12063,4.70291e-05
0.677616,2.12066,4.67134e-05
0.677124,2.12069,4.63993e-05
0.676633,2.12071,4.60866e-05
0.676142,2.12074,4.57754e-05
0.675652,2.12077,4.54656e-05
0.675163,2.1208,4.51574e-05
0.674674,2.12082,4.48506e-05
0.674187,2.12085,4.45453e-05
0.673699,2.12088,4.42414e-05
0.673213,2.1209,4.3939e-05
0.672727,2.12093,4.3638e-05
0.672242,2.12096,4.33385e-05
0.671758,2.12099,4.30404e-05
0.671274,2.12101,4.27437e-05
0.670791,2.12104,4.24485e-05
0.670309,2.12107,4.21547e-05
0.669828,2.12109,4.18623e-05
0.669347,2.12112,4.15713e-05
0.668867,2.12115,4.12816e-05
0.668387,2.12118,4.09934e-05
0.667908,2.1212,4.07066e-05
0.667815,2.12121,4.06508e-05
0.66743,2.12123,4.04212e-05
0.666953,2.12126,4.01371e-05
0.666476,2.12129,3.98544e-05
0.666,2.12131,3.95731e-05
0.665525,2.12134,3.92932e-05
0.66505,2.12137,3.90146e-05
0.664576,2.1214,3.87373e-05
0.664103,2.12142,3.84615e-05
0.66363,2.12145,3.81869e-05
0.663158,2.12148,3.79137e-05
0.662687,2.12151,3.76418e-05
0.662216,2.12154,3.73713e-05
0.661746,2.12156,3.7102e-05
0.661277,2.12159,3.68341e-05
0.660808,2.12162,3.65675e-05
0.66034,2.12165,3.63023e-05
0.659873,2.12167,3.60383e-05
