wavelength(um),Material_Re,Material_Im,Meep_Re,Meep_Im
7.248279999999999168e-01,3.045230013150284520e+00,7.312988040799999097e-03,3.122946366127784312e+00,8.234900851390346971e-03
7.110340000000000549e-01,3.066451480361990445e+00,7.670299626000000315e-03,3.129983209334069372e+00,8.607988420386722406e-03
6.972409999999999997e-01,3.087500569553695229e+00,8.065472698200000165e-03,3.137528481037816341e+00,9.019102060808220633e-03
6.834480000000000555e-01,3.108374746386628029e+00,8.504613566800000440e-03,3.145636591674790150e+00,9.474353044017280734e-03
6.696550000000000002e-01,3.129142258988646397e+00,8.995272172800000340e-03,3.154369403547520267e+00,9.981165582806778708e-03
6.558619999999999450e-01,3.149765823867006098e+00,9.546647011199999380e-03,3.163798300667854946e+00,1.054868301077285797e-02
6.420690000000000008e-01,3.170314535092478625e+00,1.017030203679999967e-02,3.174006176478720409e+00,1.118828275787348003e-02
6.282759999999999456e-01,3.190858414259727827e+00,1.088074628599999989e-02,3.185089969104847984e+00,1.191428383780579990e-02
6.144830000000000014e-01,3.211468393624635098e+00,1.169652473159999914e-02,3.197163937669137201e+00,1.274493460048748902e-02
6.006899999999999462e-01,3.232180348190991648e+00,1.264154951479999969e-02,3.210363958629427028e+00,1.370381651972311585e-02
5.868970000000000020e-01,3.253102726260097111e+00,1.374716371599999862e-02,3.224853252455940122e+00,1.482187900280385225e-02
5.731030000000000291e-01,3.274345324550399283e+00,1.505531497120000083e-02,3.240831375662767133e+00,1.614055863790829839e-02
5.593100000000000849e-01,3.296091911766636517e+00,1.662311898240000085e-02,3.258540258323805894e+00,1.771596341389199136e-02
5.455169999999999186e-01,3.318528589619472058e+00,1.852990277580000150e-02,3.278286407579891648e+00,1.962659345880640033e-02
5.317239999999999744e-01,3.341916968203110017e+00,2.088896746000000124e-02,3.300458645100363686e+00,2.198451074342530967e-02
5.179309999999999192e-01,3.366632224256236317e+00,2.386666458700000340e-02,3.325562567113106383e+00,2.495471728478054763e-02
5.041379999999999750e-01,3.393165288618698039e+00,2.771596942700000135e-02,3.354272270232367958e+00,2.878882080342489228e-02
4.903449999999999753e-01,3.422310231192446484e+00,3.283781848619999472e-02,3.387513635403810675e+00,3.388679869683627194e-02
4.765520000000000311e-01,3.455133788783160131e+00,3.989867065199999979e-02,3.426604151536370768e+00,4.091726144224695078e-02
4.627590000000000314e-01,3.493355359863190124e+00,5.007655337999999956e-02,3.473498425036136261e+00,5.106910028663720624e-02
4.489660000000000317e-01,3.539700557181240548e+00,6.561658745199999698e-02,3.531238127162414031e+00,6.662678696786654420e-02
4.351720000000000033e-01,3.598903525301909934e+00,9.123665236199998696e-02,3.604800724161221659e+00,9.244186987903080244e-02
4.213790000000000036e-01,3.679076390186710288e+00,1.381948724220000146e-01,3.702514761357125650e+00,1.402364567019618313e-01
4.075860000000000039e-01,3.793109430867750209e+00,2.382550541500000063e-01,3.836368214702792212e+00,2.435452064137388628e-01
3.937930000000000041e-01,3.935501904800000172e+00,4.985724713999999946e-01,3.989850891054278481e+00,5.146337621843753984e-01
3.800000000000000044e-01,3.740155295150999759e+00,1.156400650399999952e+00,3.738178527775155580e+00,1.123619760767031517e+00
