wavelength (microns),Re_eps,Im_eps
0.7,1.75502,8.27265
0.699475,1.75337,8.26867
0.698951,1.7517,8.26472
0.698427,1.75002,8.26078
0.697904,1.74832,8.25686
0.697382,1.7466,8.25295
0.696861,1.74486,8.24907
0.696341,1.7431,8.2452
0.695821,1.74132,8.24134
0.695302,1.73952,8.2375
0.694784,1.7377,8.23368
0.694267,1.73586,8.22987
0.69375,1.734,8.22608
0.693234,1.73211,8.22231
0.692719,1.73021,8.21855
0.692205,1.72828,8.21481
0.691691,1.72632,8.21108
0.691179,1.72434,8.20736
0.690667,1.72233,8.20366
0.690155,1.7203,8.19997
0.689645,1.71825,8.1963
0.689135,1.71616,8.19264
0.6888,1.71477,8.19023
0.688626,1.71405,8.18899
0.688118,1.71191,8.18535
0.687611,1.70974,8.18172
0.687104,1.70754,8.1781
0.686598,1.70531,8.1745
0.686093,1.70305,8.1709
0.685588,1.70076,8.16731
0.685084,1.69844,8.16373
0.684581,1.69608,8.16015
0.684079,1.6937,8.15659
0.683578,1.69127,8.15302
0.683077,1.68882,8.14946
0.682577,1.68633,8.1459
0.682078,1.68381,8.14235
0.681579,1.68125,8.1388
0.681081,1.67865,8.13524
0.680584,1.67602,8.13169
0.680088,1.67336,8.12813
0.679592,1.67065,8.12457
0.679097,1.66791,8.121
0.678603,1.66514,8.11743
0.678109,1.66233,8.11385
0.677616,1.65948,8.11026
0.677124,1.65659,8.10666
0.676633,1.65367,8.10305
0.676142,1.65071,8.09942
0.675652,1.64771,8.09578
0.675163,1.64468,8.09213
0.674674,1.64161,8.08846
0.674187,1.63851,8.08476
0.673699,1.63538,8.08105
0.673213,1.6322,8.07732
0.672727,1.629,8.07356
0.672242,1.62576,8.06977
0.671758,1.6225,8.06597
0.671274,1.6192,8.06213
0.670791,1.61587,8.05826
0.670309,1.61251,8.05436
0.6702,1.61175,8.05348
0.669828,1.60913,8.05044
0.669347,1.60572,8.04647
0.668867,1.60228,8.04248
0.668387,1.59883,8.03845
0.667908,1.59535,8.03438
0.66743,1.59185,8.03027
0.666953,1.58833,8.02613
0.666476,1.58479,8.02195
0.666,1.58124,8.01773
0.665525,1.57767,8.01346
0.66505,1.5741,8.00916
0.664576,1.57051,8.00481
0.664103,1.56691,8.00042
0.66363,1.56331,7.99599
0.663158,1.5597,7.99152
0.662687,1.55609,7.987
0.662216,1.55248,7.98244
0.661746,1.54887,7.97784
0.661277,1.54527,7.9732
0.660808,1.54167,7.96851
0.66034,1.53807,7.96378
0.659873,1.53449,7.95901
0.659406,1.53091,7.9542
0.65894,1.52735,7.94935
0.658475,1.5238,7.94446
0.65801,1.52027,7.93953
0.657546,1.51675,7.93457
0.657082,1.51325,7.92956
0.65662,1.50977,7.92453
0.656158,1.50631,7.91945
0.655696,1.50288,7.91435
0.655235,1.49946,7.90921
0.654775,1.49608,7.90404
0.654316,1.49272,7.89884
0.653857,1.48938,7.89361
0.653399,1.48608,7.88836
0.652941,1.4828,7.88308
0.6526,1.48037,7.87912
0.652484,1.47955,7.87777
0.652028,1.47633,7.87245
0.651572,1.47314,7.8671
0.651117,1.46999,7.86173
0.650663,1.46686,7.85634
0.650209,1.46377,7.85094
0.65,1.46235,7.84844
0.649756,1.46071,7.84552
0.649304,1.45768,7.84008
0.648852,1.45469,7.83464
0.648401,1.45172,7.82918
0.64795,1.44879,7.82371
0.6475,1.4459,7.81823
0.647051,1.44303,7.81274
0.646602,1.4402,7.80725
0.646154,1.4374,7.80175
0.645706,1.43463,7.79625
0.64526,1.4319,7.79074
0.644813,1.42919,7.78524
0.644368,1.42652,7.77973
0.643923,1.42388,7.77422
0.643478,1.42126,7.76871
0.643034,1.41868,7.76321
0.642591,1.41613,7.7577
0.642149,1.4136,7.75221
0.641707,1.41111,7.74671
0.641265,1.40864,7.74122
0.640825,1.4062,7.73574
0.640385,1.40378,7.73026
0.639945,1.40139,7.7248
0.639506,1.39903,7.71934
0.639068,1.39669,7.71388
0.63863,1.39438,7.70844
0.638193,1.39209,7.70301
0.637756,1.38982,7.69758
0.637321,1.38758,7.69217
0.636885,1.38536,7.68677
0.636451,1.38316,7.68138
0.636016,1.38098,7.676
0.6358,1.3799,7.67332
0.635583,1.37882,7.67063
0.63515,1.37668,7.66527
0.634717,1.37455,7.65993
0.634286,1.37245,7.6546
0.633855,1.37037,7.64928
0.633424,1.3683,7.64398
0.632994,1.36625,7.63869
0.632564,1.36421,7.63341
0.632136,1.36219,7.62815
0.631707,1.36019,7.6229
0.63128,1.3582,7.61766
0.630853,1.35622,7.61244
0.630426,1.35426,7.60723
0.63,1.35231,7.60203
0.629575,1.35038,7.59685
0.62915,1.34845,7.59168
0.628726,1.34654,7.58653
0.628302,1.34464,7.58139
0.627879,1.34276,7.57626
0.627456,1.34088,7.57115
0.627034,1.33901,7.56605
0.626613,1.33715,7.56097
0.626192,1.33531,7.5559
0.625772,1.33347,7.55084
0.625352,1.33164,7.5458
0.624933,1.32982,7.54077
0.624514,1.328,7.53575
0.624096,1.3262,7.53075
0.623679,1.3244,7.52576
0.623262,1.32261,7.52078
0.622846,1.32083,7.51581
0.62243,1.31905,7.51086
0.622015,1.31728,7.50592
0.6216,1.31552,7.501
0.621186,1.31376,7.49609
0.620772,1.31201,7.49119
0.620359,1.31027,7.4863
0.619947,1.30853,7.48142
0.6199,1.30833,7.48087
0.619535,1.30679,7.47656
0.619124,1.30506,7.4717
0.618713,1.30334,7.46686
0.618302,1.30162,7.46204
0.617893,1.2999,7.45722
0.617483,1.29819,7.45241
0.617075,1.29648,7.44762
0.616667,1.29478,7.44284
0.616259,1.29308,7.43807
0.615852,1.29139,7.4333
0.615446,1.28969,7.42855
0.61504,1.288,7.42382
0.614634,1.28632,7.41909
0.614229,1.28464,7.41437
0.613825,1.28296,7.40966
0.613421,1.28128,7.40496
0.613018,1.27961,7.40028
0.612615,1.27794,7.3956
0.612213,1.27627,7.39093
0.611811,1.2746,7.38628
0.61141,1.27294,7.38163
0.611009,1.27128,7.37699
0.610609,1.26962,7.37236
0.610209,1.26796,7.36774
0.60981,1.26631,7.36313
0.609412,1.26466,7.35853
0.609014,1.26301,7.35394
0.608616,1.26136,7.34936
0.608219,1.25971,7.34478
0.607823,1.25807,7.34022
0.607427,1.25643,7.33566
0.607031,1.25478,7.33111
0.606636,1.25315,7.32657
0.606242,1.25151,7.32204
0.605848,1.24987,7.31752
0.605455,1.24824,7.313
0.605062,1.2466,7.30849
0.6048,1.24552,7.30549
0.604669,1.24497,7.30399
0.604277,1.24334,7.2995
0.603886,1.24171,7.29502
0.603495,1.24008,7.29054
0.603105,1.23846,7.28608
0.602715,1.23683,7.28161
0.602326,1.23521,7.27716
0.601937,1.23359,7.27272
0.601548,1.23197,7.26828
0.601161,1.23035,7.26384
0.600773,1.22873,7.25942
0.600386,1.22711,7.255
0.6,1.22549,7.25059
0.6,1.22549,7.25059
0.6,1.22549,7.25059
0.6,1.22549,7.25059
0.599614,1.22388,7.24619
0.599229,1.22226,7.24179
0.598844,1.22065,7.2374
0.59846,1.21903,7.23302
0.598076,1.21742,7.22864
0.597692,1.21581,7.22427
0.597309,1.2142,7.21991
0.596927,1.21259,7.21555
0.596545,1.21099,7.2112
0.596164,1.20938,7.20686
0.595783,1.20778,7.20252
0.595402,1.20617,7.19819
0.595022,1.20457,7.19386
0.594643,1.20296,7.18954
0.594264,1.20136,7.18523
0.593885,1.19976,7.18092
0.593507,1.19816,7.17662
0.59313,1.19656,7.17232
0.592753,1.19497,7.16803
0.592376,1.19337,7.16375
0.592,1.19177,7.15947
0.591624,1.19018,7.1552
0.591249,1.18858,7.15093
0.590875,1.18699,7.14667
0.5905,1.1854,7.14241
0.5904,1.18497,7.14127
0.590127,1.18381,7.13816
0.589753,1.18222,7.13392
0.589381,1.18063,7.12968
0.589008,1.17904,7.12544
0.588636,1.17745,7.12121
0.588265,1.17587,7.11699
0.587894,1.17428,7.11277
0.587524,1.17269,7.10856
0.587154,1.17111,7.10435
0.586784,1.16953,7.10014
0.586415,1.16795,7.09595
0.586047,1.16637,7.09175
0.585678,1.16479,7.08756
0.585311,1.16321,7.08338
0.584944,1.16163,7.0792
0.584577,1.16005,7.07503
0.584211,1.15848,7.07086
0.583845,1.1569,7.0667
0.583479,1.15533,7.06254
0.583114,1.15376,7.05838
0.58275,1.15219,7.05423
0.582386,1.15061,7.05009
