wavelength (microns),Re_eps,Im_eps
0.7,1.45523,2.13403e-05
0.699475,1.45524,2.12074e-05
0.698951,1.45525,2.10751e-05
0.698427,1.45527,2.09435e-05
0.697904,1.45528,2.08124e-05
0.697382,1.45529,2.0682e-05
0.696861,1.45531,2.05522e-05
0.696341,1.45532,2.0423e-05
0.695821,1.45533,2.02943e-05
0.695302,1.45535,2.01663e-05
0.694784,1.45536,2.00389e-05
0.694267,1.45537,1.9912e-05
0.69375,1.45539,1.97858e-05
0.693234,1.4554,1.96601e-05
0.692719,1.45541,1.95351e-05
0.692205,1.45543,1.94106e-05
0.691691,1.45544,1.92867e-05
0.691179,1.45545,1.91634e-05
0.690667,1.45547,1.90406e-05
0.690155,1.45548,1.89184e-05
0.689645,1.45549,1.87968e-05
0.689135,1.4555,1.86758e-05
0.688626,1.45552,1.85553e-05
0.688118,1.45553,1.84354e-05
0.687611,1.45554,1.83161e-05
0.687104,1.45556,1.81973e-05
0.686598,1.45557,1.80791e-05
0.686093,1.45558,1.79614e-05
0.685588,1.4556,1.78443e-05
0.685084,1.45561,1.77277e-05
0.684581,1.45562,1.76117e-05
0.684079,1.45564,1.74962e-05
0.683578,1.45565,1.73813e-05
0.683077,1.45566,1.72669e-05
0.682577,1.45568,1.71531e-05
0.682078,1.45569,1.70398e-05
0.681579,1.4557,1.6927e-05
0.681081,1.45572,1.68148e-05
0.680584,1.45573,1.6703e-05
0.680088,1.45574,1.65919e-05
0.679592,1.45575,1.64812e-05
0.679097,1.45577,1.63711e-05
0.678603,1.45578,1.62615e-05
0.678109,1.45579,1.61524e-05
0.677616,1.45581,1.60438e-05
0.677124,1.45582,1.59358e-05
0.676633,1.45583,1.58282e-05
0.676142,1.45585,1.57212e-05
0.675652,1.45586,1.56147e-05
0.675163,1.45587,1.55087e-05
0.674674,1.45589,1.54032e-05
0.674187,1.4559,1.52982e-05
0.673699,1.45591,1.51937e-05
0.673213,1.45592,1.50897e-05
0.672727,1.45594,1.49862e-05
0.672242,1.45595,1.48832e-05
0.671758,1.45596,1.47807e-05
0.671274,1.45598,1.46787e-05
0.670791,1.45599,1.45772e-05
0.670309,1.456,1.44762e-05
0.669828,1.45602,1.43756e-05
0.669347,1.45603,1.42756e-05
0.668867,1.45604,1.4176e-05
0.668387,1.45605,1.40769e-05
0.667908,1.45607,1.39783e-05
0.667815,1.45607,1.39591e-05
0.66743,1.45608,1.38801e-05
0.666953,1.45609,1.37825e-05
0.666476,1.45611,1.36853e-05
0.666,1.45612,1.35886e-05
0.665525,1.45613,1.34923e-05
0.66505,1.45615,1.33965e-05
0.664576,1.45616,1.33012e-05
0.664103,1.45617,1.32064e-05
0.66363,1.45618,1.3112e-05
0.663158,1.4562,1.3018e-05
0.662687,1.45621,1.29246e-05
0.662216,1.45622,1.28316e-05
0.661746,1.45624,1.2739e-05
0.661277,1.45625,1.26469e-05
0.660808,1.45626,1.25553e-05
0.66034,1.45628,1.24641e-05
0.659873,1.45629,1.23733e-05
0.659406,1.4563,1.2283e-05
0.65894,1.45631,1.21932e-05
0.658475,1.45633,1.21038e-05
0.65801,1.45634,1.20148e-05
0.657546,1.45635,1.19263e-05
0.657082,1.45637,1.18382e-05
0.65662,1.45638,1.17505e-05
0.656272,1.45639,1.16849e-05
0.656158,1.45639,1.16633e-05
0.655696,1.4564,1.15765e-05
0.655235,1.45642,1.14902e-05
0.654775,1.45643,1.14043e-05
0.654316,1.45644,1.13188e-05
0.653857,1.45646,1.12337e-05
0.653399,1.45647,1.11491e-05
0.652941,1.45648,1.10649e-05
0.652484,1.45649,1.09811e-05
0.652028,1.45651,1.08977e-05
0.651572,1.45652,1.08148e-05
0.651117,1.45653,1.07323e-05
0.650663,1.45655,1.06502e-05
0.650209,1.45656,1.05685e-05
0.649756,1.45657,1.04872e-05
0.649304,1.45658,1.04063e-05
0.648852,1.4566,1.03259e-05
0.648401,1.45661,1.02458e-05
0.64795,1.45662,1.01662e-05
0.6475,1.45664,1.0087e-05
0.647051,1.45665,1.00081e-05
0.646602,1.45666,9.9297e-06
0.646154,1.45667,9.85168e-06
0.645706,1.45669,9.77406e-06
0.64526,1.4567,9.69684e-06
0.644813,1.45671,9.62002e-06
0.644368,1.45673,9.54359e-06
0.643923,1.45674,9.46756e-06
0.643847,1.45674,9.45466e-06
0.643478,1.45675,9.39192e-06
0.643034,1.45676,9.31668e-06
0.642591,1.45678,9.24182e-06
0.642149,1.45679,9.16736e-06
0.641707,1.4568,9.09328e-06
0.641265,1.45682,9.01959e-06
0.640825,1.45683,8.94628e-06
0.640385,1.45684,8.87336e-06
0.639945,1.45685,8.80082e-06
0.639506,1.45687,8.72867e-06
0.639068,1.45688,8.65689e-06
0.63863,1.45689,8.58549e-06
0.638193,1.45691,8.51447e-06
0.637756,1.45692,8.44383e-06
0.637321,1.45693,8.37356e-06
0.636885,1.45694,8.30366e-06
0.636451,1.45696,8.23414e-06
0.636016,1.45697,8.16498e-06
0.635583,1.45698,8.0962e-06
0.63515,1.457,8.02779e-06
0.634717,1.45701,7.95974e-06
0.634286,1.45702,7.89206e-06
0.633855,1.45703,7.82474e-06
0.633424,1.45705,7.75778e-06
0.632994,1.45706,7.69119e-06
0.632564,1.45707,7.62496e-06
0.632136,1.45708,7.55909e-06
0.631707,1.4571,7.49358e-06
0.63128,1.45711,7.42842e-06
0.630853,1.45712,7.36362e-06
0.630426,1.45714,7.29918e-06
0.63,1.45715,7.23509e-06
0.629575,1.45716,7.17135e-06
0.62915,1.45717,7.10797e-06
0.628726,1.45719,7.04493e-06
0.628302,1.4572,6.98224e-06
0.627879,1.45721,6.9199e-06
0.627456,1.45723,6.85791e-06
0.627034,1.45724,6.79627e-06
0.626613,1.45725,6.73496e-06
0.626192,1.45726,6.674e-06
0.625772,1.45728,6.61339e-06
0.625352,1.45729,6.55311e-06
0.624933,1.4573,6.49318e-06
0.624514,1.45731,6.43358e-06
0.624096,1.45733,6.37432e-06
0.623679,1.45734,6.3154e-06
0.623262,1.45735,6.25681e-06
0.622846,1.45737,6.19856e-06
0.62243,1.45738,6.14064e-06
0.622015,1.45739,6.08305e-06
0.6216,1.4574,6.0258e-06
0.621186,1.45742,5.96887e-06
0.620772,1.45743,5.91228e-06
0.620359,1.45744,5.85601e-06
0.619947,1.45746,5.80007e-06
0.619535,1.45747,5.74446e-06
0.619124,1.45748,5.68917e-06
0.618713,1.45749,5.6342e-06
0.618302,1.45751,5.57956e-06
0.617893,1.45752,5.52524e-06
0.617483,1.45753,5.47124e-06
0.617075,1.45754,5.41756e-06
0.616667,1.45756,5.36419e-06
0.616259,1.45757,5.31115e-06
0.615852,1.45758,5.25842e-06
0.615446,1.4576,5.20601e-06
0.61504,1.45761,5.15392e-06
0.614634,1.45762,5.10214e-06
0.614229,1.45763,5.05067e-06
0.613825,1.45765,4.99951e-06
0.613421,1.45766,4.94866e-06
0.613018,1.45767,4.89813e-06
0.612615,1.45769,4.8479e-06
0.612213,1.4577,4.79798e-06
0.611811,1.45771,4.74837e-06
0.61141,1.45772,4.69907e-06
0.611009,1.45774,4.65007e-06
0.610609,1.45775,4.60137e-06
0.610209,1.45776,4.55298e-06
0.60981,1.45778,4.50489e-06
0.609412,1.45779,4.4571e-06
0.609014,1.4578,4.40962e-06
0.608616,1.45781,4.36243e-06
0.608219,1.45783,4.31554e-06
0.607823,1.45784,4.26895e-06
0.607427,1.45785,4.22266e-06
0.607031,1.45786,4.17666e-06
0.606636,1.45788,4.13096e-06
0.606242,1.45789,4.08556e-06
0.605848,1.4579,4.04044e-06
0.605455,1.45792,3.99562e-06
0.605062,1.45793,3.95109e-06
0.604669,1.45794,3.90686e-06
0.604277,1.45795,3.86291e-06
0.603886,1.45797,3.81925e-06
