wavelength (microns),Re_eps,Im_eps
0.7, 1.7559, 0.00179437
0.699475, 1.75613, 0.00228675
0.698951, 1.75635, 0.00229073
0.698427, 1.75658, 0.00229471
0.697904, 1.75681, 0.00229871
0.697382, 1.75703, 0.00230273
0.697241, 1.7571,0.00230381
0.696861, 1.75726, 0.00230675
0.696341, 1.75749, 0.00231079
0.695821, 1.75771, 0.00231484
0.695302, 1.75794, 0.0023189
0.694784, 1.75816, 0.00232297
0.694267, 1.75838, 0.00232706
0.69375, 1.75861, 0.00233115
0.693234, 1.75883, 0.00233526
0.692719, 1.75905, 0.00233939
0.692205, 1.75927,0.00234352
0.691691, 1.7595,0.00234767
0.691179, 1.75972,0.00235183
0.690667, 1.75994, 0.002356
0.690155, 1.76016, 0.00236018
0.689645, 1.76038, 0.00236438
0.689135, 1.7606,0.00236859
0.688626, 1.76082,0.00237281
0.688118, 1.76104,0.00237705
0.687611, 1.76125,0.0023813
0.687104, 1.76147,0.00238556
0.686598, 1.76169, 0.00238983
0.686093, 1.76191,0.00239412
0.685588, 1.76212, 0.00239841
0.685084, 1.76234,0.00240273
0.684581, 1.76256,0.00240705
0.684079, 1.76277,0.00241139
0.683578, 1.76299,0.00241574
0.683448, 1.76304,0.00241686
0.683077,1.7632,0.0024201
0.682577,1.76342,0.00242447
0.682078,1.76363,0.00242886
0.681579,1.76384,0.00243326
0.681081,1.76406,0.00243768
0.680584,1.76427,0.00244211
0.680088,1.76448,0.00244655
0.679592,1.76469,0.002451
0.679097,1.7649,0.00245547
0.678603,1.76512,0.00245995
0.678109,1.76533,0.00246444
0.677616,1.76554,0.00246895
0.677124,1.76575,0.00247347
0.676633,1.76596,0.002478
0.676142,1.76617,0.00248255
0.675652,1.76638,0.00248711
0.675163,1.76658,0.00249168
0.674674,1.76679,0.00249627
0.674187,1.767,0.00250087
0.673699,1.76721,0.00250548
0.673213,1.76741,0.00251011
0.672727,1.76762,0.00251475
0.672242,1.76783,0.00251941
0.671758,1.76803,0.00252408
0.671274,1.76824,0.00252876
0.670791,1.76844,0.00253345
0.670309,1.76865,0.00253816
0.669828,1.76885,0.00254289
0.669655,1.76893,0.00254458
0.669347,1.76906,0.00254762
0.668867,1.76926,0.00255237
0.668387,1.76946,0.00255714
0.667908,1.76967,0.00256192
0.66743,1.76987,0.00256671
0.666953,1.77007,0.00257152
0.666476,1.77028,0.00257634
0.666,1.77048,0.00258118
0.665525,1.77068,0.00258602
0.66505,1.77088,0.00259089
0.664576,1.77108,0.00259577
0.664103,1.77128,0.00260066
0.66363,1.77148,0.00260556
0.663158,1.77168,0.00261049
0.662687,1.77188,0.00261542
0.662216,1.77208,0.00262037
0.661746,1.77228,0.00262533
0.661277,1.77247,0.00263031
0.660808,1.77267,0.00263531
0.66034,1.77287,0.00264031
0.659873,1.77307,0.00264534
0.659406,1.77326,0.00265037
0.65894,1.77346,0.00265543
0.658475,1.77366,0.00266049
0.65801,1.77385,0.00266558
0.657546,1.77405,0.00267067
0.657082,1.77424,0.00267578
0.65662,1.77444,0.00268091
0.656158,1.77463,0.00268605
0.655862,1.77476,0.00268935
0.655696,1.77483,0.00269121
0.655235,1.77502,0.00269638
0.654775,1.77522,0.00270157
0.654316,1.77541,0.00270677
0.653857,1.7756,0.00271198
