lambda, Y
7e-07, 1.07449
6.98249e-07, 1.07513
6.96506e-07, 1.07566
6.94772e-07, 1.07626
6.93046e-07, 1.07711
6.91329e-07, 1.07825
6.89621e-07, 1.07958
6.87921e-07, 1.08091
6.8623e-07, 1.0821
6.84546e-07, 1.08311
6.82871e-07, 1.08407
6.81204e-07, 1.08516
6.79545e-07, 1.08653
6.77895e-07, 1.08817
6.76252e-07, 1.08999
6.74617e-07, 1.09181
6.7299e-07, 1.09353
6.71371e-07, 1.09517
6.6976e-07, 1.09686
6.68156e-07, 1.09876
6.66561e-07, 1.10099
6.64972e-07, 1.10352
6.63391e-07, 1.10624
6.61818e-07, 1.10901
6.60252e-07, 1.11175
6.58694e-07, 1.1145
6.57143e-07, 1.11738
6.55599e-07, 1.12053
6.54063e-07, 1.12402
6.52533e-07, 1.1278
6.51011e-07, 1.13174
6.49496e-07, 1.13573
6.47988e-07, 1.1397
6.46486e-07, 1.1437
6.44992e-07, 1.14783
6.43505e-07, 1.15222
6.42025e-07, 1.1569
6.40551e-07, 1.16182
6.39084e-07, 1.16684
6.37624e-07, 1.17188
6.3617e-07, 1.17689
6.34723e-07, 1.18193
6.33283e-07, 1.18712
6.31849e-07, 1.19254
6.30422e-07, 1.19822
6.29001e-07, 1.2041
6.27586e-07, 1.21005
6.26178e-07, 1.21601
6.24776e-07, 1.22195
6.2338e-07, 1.22795
6.21991e-07, 1.23412
6.20608e-07, 1.24051
6.19231e-07, 1.24715
6.1786e-07, 1.25395
6.16495e-07, 1.26082
6.15136e-07, 1.26769
6.13783e-07, 1.27457
6.12436e-07, 1.28153
6.11095e-07, 1.28867
6.0976e-07, 1.29603
6.0843e-07, 1.3036
6.07107e-07, 1.31132
6.05789e-07, 1.31909
6.04477e-07, 1.32686
6.0317e-07, 1.33465
6.01869e-07, 1.34252
6.00574e-07, 1.35057
5.99284e-07, 1.35882
5.98e-07, 1.36725
5.96721e-07, 1.37578
5.95448e-07, 1.38433
5.9418e-07, 1.39287
5.92918e-07, 1.40142
5.91661e-07, 1.41003
5.90409e-07, 1.41879
5.89163e-07, 1.42772
5.87921e-07, 1.43676
5.86685e-07, 1.44585
5.85455e-07, 1.45492
5.84229e-07, 1.46393
5.83008e-07, 1.47292
5.81793e-07, 1.48193
5.80583e-07, 1.49104
5.79377e-07, 1.50025
5.78177e-07, 1.5095
5.76981e-07, 1.51872
5.75791e-07, 1.52785
5.74605e-07, 1.53687
5.73425e-07, 1.5458
5.72249e-07, 1.55471
5.71078e-07, 1.56364
5.69912e-07, 1.57258
5.6875e-07, 1.58148
5.67593e-07, 1.59027
5.66441e-07, 1.59888
5.65294e-07, 1.60732
5.64151e-07, 1.61561
5.63013e-07, 1.62382
5.61879e-07, 1.63196
5.6075e-07, 1.64003
5.59626e-07, 1.64798
5.58506e-07, 1.65573
5.5739e-07, 1.66325
5.56279e-07, 1.67053
5.55172e-07, 1.67761
5.5407e-07, 1.68454
5.52972e-07, 1.69136
5.51879e-07, 1.69803
5.50789e-07, 1.70452
5.49705e-07, 1.71076
5.48624e-07, 1.71673
5.47547e-07, 1.72242
5.46475e-07, 1.7279
5.45407e-07, 1.73319
5.44343e-07, 1.73834
5.43284e-07, 1.74331
5.42228e-07, 1.74807
5.41176e-07, 1.75256
5.40129e-07, 1.75677
5.39086e-07, 1.76071
