wavelength(um), dipole power
0.7, 1.29403
0.698249, 1.29423
0.696506, 1.29447
0.694772, 1.29468
0.693046, 1.29483
0.691329, 1.29489
0.689621, 1.2949
0.687921, 1.29492
0.68623, 1.295
0.684546, 1.29513
0.682871, 1.29529
0.681204, 1.29543
0.679545, 1.2955
0.677895, 1.29552
0.676252, 1.29549
0.674617, 1.29547
0.67299, 1.29548
0.671371, 1.29554
0.66976, 1.29561
0.668156, 1.29566
0.666561, 1.29566
0.664972, 1.2956
0.663391, 1.2955
0.661818, 1.29541
0.660252, 1.29534
0.658694, 1.29533
0.657143, 1.29534
0.655599, 1.29536
0.654062, 1.29535
0.652533, 1.29532
0.651011, 1.29527
0.649496, 1.29523
0.647988, 1.29523
0.646486, 1.29525
0.644992, 1.29531
0.643505, 1.29536
0.642025, 1.29539
0.640551, 1.2954
0.639084, 1.29541
0.637624, 1.29544
0.63617, 1.29551
0.634723, 1.29562
0.633283, 1.29578
0.631849, 1.29596
0.630422, 1.29615
0.629001, 1.29634
0.627586, 1.29654
0.626178, 1.29677
0.624776, 1.29704
0.62338, 1.29735
0.621991, 1.2977
0.620608, 1.29807
0.619231, 1.29846
0.61786, 1.29887
0.616495, 1.2993
0.615136, 1.29976
0.613783, 1.30026
0.612436, 1.30081
0.611095, 1.30138
0.60976, 1.30197
0.60843, 1.30258
0.607107, 1.3032
0.605789, 1.30384
0.604477, 1.30452
0.60317, 1.30523
0.601869, 1.30599
0.600574, 1.30677
0.599284, 1.30758
0.598, 1.30839
0.596721, 1.30921
0.595448, 1.31006
0.59418, 1.31092
0.592918, 1.31182
0.591661, 1.31276
0.590409, 1.31373
0.589163, 1.31472
0.587921, 1.31573
0.586685, 1.31676
0.585455, 1.3178
0.584229, 1.31887
0.583008, 1.31996
0.581793, 1.32107
0.580583, 1.3222
0.579377, 1.32336
0.578177, 1.32454
0.576981, 1.32577
0.575791, 1.32705
0.574605, 1.32839
0.573425, 1.32977
0.572249, 1.3312
0.571078, 1.33267
0.569912, 1.33416
0.56875, 1.33569
0.567593, 1.33725
0.566441, 1.33886
0.565294, 1.34054
0.564151, 1.34227
0.563013, 1.34407
0.561879, 1.34591
0.56075, 1.3478
0.559626, 1.34974
0.558506, 1.35172
0.55739, 1.35377
0.556279, 1.35587
0.555172, 1.35804
0.55407, 1.36027
0.552972, 1.36255
0.551879, 1.36487
0.550789, 1.36724
0.549705, 1.36966
0.548624, 1.37213
0.547547, 1.37467
0.546475, 1.37726
0.545407, 1.37989
0.544343, 1.38256
0.543284, 1.38526
0.542228, 1.38798
0.541176, 1.39074
0.540129, 1.39353
0.539086, 1.39636
0.538046, 1.39921
0.537011, 1.4021
0.53598, 1.405
0.534952, 1.40791
0.533929, 1.41083
0.532909, 1.41376
0.531893, 1.41669
0.530881, 1.41964
0.529873, 1.4226
0.528869, 1.42557
0.527869, 1.42854
0.526872, 1.43152
0.525879, 1.4345
0.52489, 1.43748
0.523905, 1.44046
0.522923, 1.44345
0.521945, 1.44644
0.520971, 1.44942
0.52, 1.45241
0.519033, 1.45539
0.518069, 1.45838
0.517109, 1.46138
0.516153, 1.46439
0.5152, 1.46741
0.514251, 1.47043
0.513305, 1.47345
0.512362, 1.47646
0.511423, 1.47946
0.510488, 1.48246
0.509556, 1.48546
0.508627, 1.48846
0.507702, 1.49146
0.50678, 1.49445
0.505861, 1.49742
0.504946, 1.50035
0.504034, 1.50324
0.503125, 1.5061
0.50222, 1.50891
0.501317, 1.51169
0.500418, 1.51444
0.499523, 1.51714
0.49863, 1.51978
0.497741, 1.52235
0.496855, 1.52485
0.495972, 1.52726
0.495092, 1.52959
0.494215, 1.53183
0.493341, 1.53398
0.492471, 1.53605
0.491603, 1.53802
0.490739, 1.53989
0.489877, 1.54164
0.489019, 1.54329
0.488163, 1.54483
0.487311, 1.54627
0.486461, 1.5476
0.485615, 1.54884
0.484771, 1.54999
0.483931, 1.55103
0.483093, 1.55198
0.482258, 1.55283
0.481426, 1.5536
0.480597, 1.55428
0.479771, 1.55488
0.478947, 1.55542
0.478127, 1.55588
0.477309, 1.55627
0.476494, 1.55659
0.475682, 1.55684
0.474872, 1.55704
0.474066, 1.55719
0.473262, 1.5573
0.47246, 1.55736
0.471662, 1.55738
0.470866, 1.55736
0.470073, 1.55729
0.469283, 1.55718
0.468495, 1.55703
0.467709, 1.55685
0.466927, 1.55664
0.466147, 1.55639
0.46537, 1.55612
0.464595, 1.55581
0.463823, 1.55546
0.463053, 1.55506
0.462286, 1.55464
0.461521, 1.55417
0.460759, 1.55367
0.46, 1.55313
0.459243, 1.55256
0.458488, 1.55194
0.457736, 1.55128
0.456987, 1.55058
0.45624, 1.54982
0.455495, 1.54903
0.454753, 1.5482
0.454013, 1.54732
0.453276, 1.54641
0.452541, 1.54545
0.451808, 1.54445
0.451078, 1.54341
0.45035, 1.54233
0.449624, 1.54123
0.448901, 1.54009
0.44818, 1.53893
0.447461, 1.53775
0.446745, 1.53655
0.446031, 1.53531
0.445319, 1.53406
0.44461, 1.53278
0.443902, 1.53149
0.443197, 1.5302
0.442495, 1.5289
0.441794, 1.52761
0.441096, 1.52632
0.4404, 1.52504
0.439706, 1.52376
0.439014, 1.5225
0.438325, 1.52125
0.437637, 1.52002
0.436952, 1.51881
0.436269, 1.51761
0.435588, 1.51644
0.434909, 1.51529
0.434232, 1.51417
0.433558, 1.51306
0.432885, 1.51199
0.432215, 1.51095
0.431546, 1.50994
0.43088, 1.50896
0.430216, 1.508
0.429554, 1.50708
0.428893, 1.50618
0.428235, 1.5053
0.427579, 1.50446
0.426925, 1.50365
0.426273, 1.50286
0.425623, 1.5021
0.424975, 1.50136
0.424328, 1.50064
0.423684, 1.49993
0.423042, 1.49924
0.422402, 1.49856
0.421763, 1.49791
0.421127, 1.49728
0.420492, 1.49667
0.41986, 1.49607
0.419229, 1.49548
0.4186, 1.49491
0.417973, 1.49435
0.417348, 1.4938
0.416725, 1.49327
0.416103, 1.49276
0.415484, 1.49227
0.414866, 1.4918
0.41425, 1.49135
0.413636, 1.49091
0.413024, 1.4905
0.412414, 1.49012
0.411805, 1.48977
0.411198, 1.48946
0.410593, 1.48918
0.40999, 1.48894
0.409389, 1.48874
0.408789, 1.48858
0.408191, 1.48846
0.407595, 1.4884
0.407, 1.4884
0.406408, 1.48845
0.405817, 1.48857
0.405227, 1.48876
0.40464, 1.48901
0.404054, 1.48932
0.40347, 1.48971
0.402887, 1.49018
0.402307, 1.49073
0.401727, 1.49138
0.40115, 1.49212
0.400574, 1.49295
0.4, 1.49387



