lambda, Y
7e-07, 3.84673e-09
6.98249e-07, 3.87575e-09
6.96506e-07, 3.90492e-09
6.94772e-07, 3.93423e-09
6.93046e-07, 3.96369e-09
6.91329e-07, 3.99329e-09
6.89621e-07, 4.02304e-09
6.87921e-07, 4.05294e-09
6.8623e-07, 4.08299e-09
6.84546e-07, 4.11318e-09
6.82871e-07, 4.14352e-09
6.81204e-07, 4.17402e-09
6.79545e-07, 4.20466e-09
6.77895e-07, 4.23545e-09
6.76252e-07, 4.26639e-09
6.74617e-07, 4.29748e-09
6.7299e-07, 4.32872e-09
6.71371e-07, 4.36011e-09
6.6976e-07, 4.39166e-09
6.68156e-07, 4.42335e-09
6.66561e-07, 4.4552e-09
6.64972e-07, 4.4872e-09
6.63391e-07, 4.51935e-09
6.61818e-07, 4.55166e-09
6.60252e-07, 4.58412e-09
6.58694e-07, 4.61674e-09
6.57143e-07, 4.6495e-09
6.55599e-07, 4.68243e-09
6.54063e-07, 4.71551e-09
6.52533e-07, 4.74874e-09
6.51011e-07, 4.78213e-09
6.49496e-07, 4.81567e-09
6.47988e-07, 4.84938e-09
6.46486e-07, 4.88324e-09
6.44992e-07, 4.91725e-09
6.43505e-07, 4.95143e-09
6.42025e-07, 4.98576e-09
6.40551e-07, 5.02025e-09
6.39084e-07, 5.0549e-09
6.37624e-07, 5.0897e-09
6.3617e-07, 5.12467e-09
6.34723e-07, 5.1598e-09
6.33283e-07, 5.19509e-09
6.31849e-07, 5.23053e-09
6.30422e-07, 5.26614e-09
6.29001e-07, 5.30191e-09
6.27586e-07, 5.33784e-09
6.26178e-07, 5.37394e-09
6.24776e-07, 5.41019e-09
6.2338e-07, 5.44661e-09
6.21991e-07, 5.48319e-09
6.20608e-07, 5.51994e-09
6.19231e-07, 5.55685e-09
6.1786e-07, 5.59392e-09
6.16495e-07, 5.63116e-09
6.15136e-07, 5.66856e-09
6.13783e-07, 5.70613e-09
6.12436e-07, 5.74386e-09
6.11095e-07, 5.78176e-09
6.0976e-07, 5.81983e-09
6.0843e-07, 5.85806e-09
6.07107e-07, 5.89646e-09
6.05789e-07, 5.93502e-09
6.04477e-07, 5.97376e-09
6.0317e-07, 6.01266e-09
6.01869e-07, 6.05173e-09
6.00574e-07, 6.09097e-09
5.99284e-07, 6.13038e-09
5.98e-07, 6.16996e-09
5.96721e-07, 6.20971e-09
5.95448e-07, 6.24963e-09
5.9418e-07, 6.28972e-09
5.92918e-07, 6.32998e-09
5.91661e-07, 6.37041e-09
5.90409e-07, 6.41102e-09
5.89163e-07, 6.4518e-09
5.87921e-07, 6.49274e-09
5.86685e-07, 6.53387e-09
5.85455e-07, 6.57516e-09
5.84229e-07, 6.61663e-09
5.83008e-07, 6.65827e-09
5.81793e-07, 6.70009e-09
5.80583e-07, 6.74208e-09
5.79377e-07, 6.78425e-09
5.78177e-07, 6.82659e-09
5.76981e-07, 6.86911e-09
5.75791e-07, 6.91181e-09
5.74605e-07, 6.95468e-09
5.73425e-07, 6.99773e-09
5.72249e-07, 7.04095e-09
5.71078e-07, 7.08435e-09
5.69912e-07, 7.12794e-09
5.6875e-07, 7.17169e-09
5.67593e-07, 7.21563e-09
5.66441e-07, 7.25975e-09
5.65294e-07, 7.30405e-09
5.64151e-07, 7.34852e-09
5.63013e-07, 7.39318e-09
5.61879e-07, 7.43802e-09
5.6075e-07, 7.48304e-09
5.59626e-07, 7.52823e-09
5.58506e-07, 7.57362e-09
5.5739e-07, 7.61918e-09
5.56279e-07, 7.66492e-09
5.55172e-07, 7.71085e-09
5.5407e-07, 7.75696e-09
5.52972e-07, 7.80326e-09
5.51879e-07, 7.84974e-09
5.50789e-07, 7.8964e-09
5.49705e-07, 7.94325e-09
5.48624e-07, 7.99028e-09
5.47547e-07, 8.0375e-09
5.46475e-07, 8.0849e-09
5.45407e-07, 8.13249e-09
5.44343e-07, 8.18027e-09
5.43284e-07, 8.22823e-09
5.42228e-07, 8.27638e-09
5.41176e-07, 8.32471e-09
5.40129e-07, 8.37324e-09
5.39086e-07, 8.42195e-09
5.38046e-07, 8.47085e-09
5.37011e-07, 8.51994e-09
5.3598e-07, 8.56922e-09
5.34952e-07, 8.61869e-09
5.33929e-07, 8.66835e-09
5.32909e-07, 8.7182e-09
5.31893e-07, 8.76824e-09
5.30881e-07, 8.81847e-09
5.29873e-07, 8.8689e-09
5.28869e-07, 8.91951e-09
5.27869e-07, 8.97032e-09
5.26872e-07, 9.02132e-09
5.25879e-07, 9.07251e-09
5.2489e-07, 9.1239e-09
5.23905e-07, 9.17548e-09
5.22923e-07, 9.22725e-09
